implementation,batch_size,seq_len,d_model,dtype,forward_seconds,backward_seconds,memory_before_backward_mb,peak_memory_mb,status,error
eager,8,256,16,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,1024,16,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,4096,16,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,8192,16,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,16384,16,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,256,32,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,1024,32,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,4096,32,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,8192,32,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,16384,32,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,256,64,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,1024,64,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,4096,64,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,8192,64,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,16384,64,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,256,128,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,1024,128,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,4096,128,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,8192,128,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
eager,8,16384,128,fp32,,,,,error,AssertionError('Torch not compiled with CUDA enabled')
